Detector;Time;qPKW;vPKW
e1_6I;180;3;40
e1_6I;240;3;40
e1_6I;300;6;40
e1_6I;360;18;40
e1_6I;420;31;40
e1_6I;480;48;40
e1_6I;540;52;40
e1_6I;600;53;40
e1_6I;660;58;40
e1_6I;720;64;40
e1_6I;780;69;40
e1_6I;840;67;40
e1_6I;900;72;40
e1_6I;960;81;40
e1_6I;1020;80;40
e1_6I;1080;72;40
e1_6I;1140;53;40
e1_6I;1200;40;40
e1_6I;1260;30;40
e1_6I;1320;20;40
e1_6I;1380;13;40
e1_6O;0;9;40
e1_6O;60;4;40
e1_6O;120;3;40
e1_6O;180;4;40
e1_6O;240;4;40
e1_6O;300;8;40
e1_6O;360;18;40
e1_6O;420;35;40
e1_6O;480;51;40
e1_6O;540;50;40
e1_6O;600;50;40
e1_6O;660;54;40
e1_6O;720;61;40
e1_6O;780;65;40
e1_6O;840;65;40
e1_6O;900;70;40
e1_6O;960;77;40
e1_6O;1020;80;40
e1_6O;1080;73;40
e1_6O;1140;56;40
e1_6O;1200;44;40
e1_6O;1260;33;40
e1_6O;1320;22;40
e1_6O;1380;14;40
294185I;0;13;40
294185I;60;7;40
294185I;120;5;40
294185I;180;5;40
294185I;240;5;40
294185I;300;10;40
294185I;360;30;40
294185I;420;53;40
294185I;480;80;40
294185I;540;87;40
294185I;600;90;40
294185I;660;98;40
294185I;720;108;40
294185I;780;116;40
294185I;840;112;40
294185I;900;121;40
294185I;960;135;40
294185I;1020;134;40
294185I;1080;122;40
294185I;1140;89;40
294185I;1200;68;40
294185I;1260;51;40
294185I;1320;34;40
294185I;1380;23;40
294185O;0;15;40
294185O;60;8;40
294185O;120;5;40
294185O;180;7;40
294185O;240;6;40
294185O;300;13;40
294185O;360;30;40
294185O;420;58;40
294185O;480;86;40
294185O;540;84;40
294185O;600;83;40
294185O;660;90;40
294185O;720;103;40
294185O;780;110;40
294185O;840;109;40
294185O;900;118;40
294185O;960;130;40
294185O;1020;134;40
294185O;1080;122;40
294185O;1140;94;40
294185O;1200;74;40
294185O;1260;56;40
294185O;1320;38;40
294185O;1380;24;40
e1_4I;0;27;40
e1_4I;60;14;40
e1_4I;120;9;40
e1_4I;180;9;40
e1_4I;240;11;40
e1_4I;300;20;40
e1_4I;360;60;40
e1_4I;420;106;40
e1_4I;480;161;40
e1_4I;540;175;40
e1_4I;600;181;40
e1_4I;660;197;40
e1_4I;720;218;40
e1_4I;780;233;40
e1_4I;840;226;40
e1_4I;900;244;40
e1_4I;960;273;40
e1_4I;1020;271;40
e1_4I;1080;245;40
e1_4I;1140;180;40
e1_4I;1200;137;40
e1_4I;1260;103;40
e1_4I;1320;69;40
e1_4I;1380;46;40
e1_4O;0;30;40
e1_4O;60;15;40
e1_4O;120;10;40
e1_4O;180;13;40
e1_4O;240;12;40
e1_4O;300;27;40
e1_4O;360;61;40
e1_4O;420;118;40
e1_4O;480;173;40
e1_4O;540;168;40
e1_4O;600;168;40
e1_4O;660;182;40
e1_4O;720;207;40
e1_4O;780;222;40
e1_4O;840;219;40
e1_4O;900;237;40
e1_4O;960;262;40
e1_4O;1020;271;40
e1_4O;1080;246;40
e1_4O;1140;189;40
e1_4O;1200;149;40
e1_4O;1260;113;40
e1_4O;1320;76;40
e1_4O;1380;48;40
27634;0;98;40
27634;60;51;40
27634;120;23;40
27634;180;28;40
27634;240;48;40
27634;300;146;40
27634;360;212;40
27634;420;420;40
27634;480;588;40
27634;540;593;40
27634;600;509;40
27634;660;499;40
27634;720;607;40
27634;780;542;40
27634;840;567;40
27634;900;755;40
27634;960;733;40
27634;1020;696;40
27634;1080;554;40
27634;1140;421;40
27634;1200;333;40
27634;1260;294;40
27634;1320;217;40
27634;1380;154;40
226691I;0;5;40
226691I;60;3;40
226691I;120;2;40
226691I;180;2;40
226691I;240;2;40
226691I;300;4;40
226691I;360;12;40
226691I;420;21;40
226691I;480;32;40
226691I;540;35;40
226691I;600;36;40
226691I;660;39;40
226691I;720;43;40
226691I;780;46;40
226691I;840;45;40
226691I;900;48;40
226691I;960;54;40
226691I;1020;54;40
226691I;1080;49;40
226691I;1140;36;40
226691I;1200;27;40
226691I;1260;20;40
226691I;1320;14;40
226691I;1380;9;40
226691O;0;6;40
226691O;60;3;40
226691O;120;2;40
226691O;180;3;40
226691O;240;2;40
226691O;300;5;40
226691O;360;12;40
226691O;420;23;40
226691O;480;34;40
226691O;540;33;40
226691O;600;33;40
226691O;660;36;40
226691O;720;41;40
226691O;780;44;40
226691O;840;43;40
226691O;900;47;40
226691O;960;52;40
226691O;1020;54;40
226691O;1080;49;40
226691O;1140;38;40
226691O;1200;30;40
226691O;1260;22;40
226691O;1320;15;40
226691O;1380;10;40
339189I;0;8;40
339189I;60;4;40
339189I;120;3;40
339189I;180;3;40
339189I;240;3;40
339189I;300;6;40
339189I;360;17;40
339189I;420;29;40
339189I;480;44;40
339189I;540;48;40
339189I;600;50;40
339189I;660;54;40
339189I;720;60;40
339189I;780;64;40
339189I;840;62;40
339189I;900;67;40
339189I;960;75;40
339189I;1020;75;40
339189I;1080;68;40
339189I;1140;50;40
339189I;1200;38;40
339189I;1260;28;40
339189I;1320;19;40
339189I;1380;13;40
339189O;0;8;40
339189O;60;4;40
339189O;120;3;40
339189O;180;4;40
339189O;240;3;40
339189O;300;7;40
339189O;360;17;40
339189O;420;33;40
339189O;480;48;40
339189O;540;46;40
339189O;600;46;40
339189O;660;50;40
339189O;720;57;40
339189O;780;61;40
339189O;840;60;40
339189O;900;66;40
339189O;960;72;40
339189O;1020;75;40
339189O;1080;68;40
339189O;1140;52;40
339189O;1200;41;40
339189O;1260;31;40
339189O;1320;21;40
339189O;1380;13;40
298667I;0;7;40
298667I;60;3;40
298667I;120;2;40
298667I;180;2;40
298667I;240;3;40
298667I;300;5;40
298667I;360;14;40
298667I;420;25;40
298667I;480;39;40
298667I;540;42;40
298667I;600;43;40
298667I;660;47;40
298667I;720;52;40
298667I;780;56;40
298667I;840;54;40
298667I;900;58;40
298667I;960;65;40
298667I;1020;65;40
298667I;1080;59;40
298667I;1140;43;40
298667I;1200;33;40
298667I;1260;25;40
298667I;1320;16;40
298667I;1380;11;40
298667O;0;7;40
298667O;60;4;40
298667O;120;2;40
298667O;180;3;40
298667O;240;3;40
298667O;300;6;40
298667O;360;15;40
298667O;420;28;40
298667O;480;41;40
298667O;540;40;40
298667O;600;40;40
298667O;660;44;40
